path,p_2,p_2_angles
graphs/nodes_8/1114.gml,0.8851952562194458,[-0.27090474  0.21665018  0.66136198 -0.23752154]
graphs/nodes_8/1115.gml,0.8048180757696137,[-0.30577414  0.19811516  0.66327317 -0.30258521]
graphs/nodes_8/1116.gml,0.8612248768932379,[-0.30899301  0.26514022  0.77634665 -0.21046308]
graphs/nodes_8/1117.gml,0.8960884822869583,[-0.24924749  0.21330557  0.64186189 -0.2252271 ]
graphs/nodes_8/1118.gml,0.7593918360922635,[-0.71926269  0.75892869  0.55363369  0.54568052]
graphs/nodes_8/1119.gml,0.8865520060462792,[-0.30470943  0.24248242  0.666634   -0.24469863]
graphs/nodes_8/112.gml,0.8406756482245377,[ 0.24717806 -0.20663777  2.54029766 -1.34555603]
graphs/nodes_8/1120.gml,0.871989685471705,[-0.25208032  0.19951209  0.61174591 -0.2389016 ]
graphs/nodes_8/1121.gml,0.725637937669506,[-1.73819766 -0.12104834  2.08952623 -0.39419708]
graphs/nodes_8/1122.gml,0.8324532510360062,[-0.24950805  0.21684995  0.67847214 -0.22436852]
graphs/nodes_8/1123.gml,0.8950141418810871,[-0.23449115  0.47704609  2.68194518 -1.3265975 ]
graphs/nodes_8/1124.gml,0.7491782878558971,[-1.18485162  0.28665035  2.3819932  -0.27147099]
graphs/nodes_8/1125.gml,0.8344951339516868,[-0.30835808  0.19958231  0.6740221  -0.25525346]
graphs/nodes_8/1126.gml,0.9063857448190493,[-0.30972421  0.22463123  0.70314401 -0.25686409]
graphs/nodes_8/1127.gml,0.8328296058434571,[-0.23189642  0.21234662  0.61994514 -0.22663492]
graphs/nodes_8/1128.gml,0.9206196561252828,[-0.25739391  0.21819469  0.6304798  -0.23069206]
graphs/nodes_8/1129.gml,0.8779611003976877,[-0.26590333  0.19858088  0.62743915 -0.24722628]
graphs/nodes_8/113.gml,0.7968000712080057,[-0.29533248  0.20966918  0.65629433 -0.27988887]
graphs/nodes_8/1130.gml,0.711917725014079,[-1.15844525  0.34962354  2.32289791 -0.25457067]
graphs/nodes_8/1131.gml,0.8531887212516874,[-0.21614539  0.42641846  2.6986343  -1.3217333 ]
graphs/nodes_8/1132.gml,0.8785537768929921,[-0.2865859   0.23039777  0.7144237  -0.21476989]
graphs/nodes_8/1133.gml,0.7739260896027065,[-0.2790151  -1.23133542  1.97199034 -1.60388611]
graphs/nodes_8/1134.gml,0.8024120671157878,[-1.4424067   0.50058696  1.9298324  -0.33952256]
graphs/nodes_8/1135.gml,0.8061309394233537,[-1.47221817  0.21609682  1.85529612 -0.32834501]
graphs/nodes_8/1136.gml,0.7585860519904272,[-0.2298389   0.3848383   1.21304794 -0.16563665]
graphs/nodes_8/1137.gml,0.7932783502979346,[-0.28748763  0.22714076  0.63665334 -0.28363544]
graphs/nodes_8/1138.gml,0.7284249774110978,[-1.23950143 -0.03823748  1.60560711 -0.37856991]
graphs/nodes_8/1139.gml,0.903308653874124,[-0.85146113 -0.04212401  1.10031754 -0.31255065]
graphs/nodes_8/114.gml,0.754609768498836,[-1.96010148 -0.48329464 -0.34511896 -0.28162494]
graphs/nodes_8/1140.gml,0.8104107734239656,[-0.77882017 -0.02064216  1.02791593 -0.30881238]
graphs/nodes_8/1141.gml,0.8509604020453321,[-0.3289555   0.23323304  0.72858523 -0.2631537 ]
graphs/nodes_8/1142.gml,0.8810866500097072,[-0.29070776  0.22121294  0.71388206 -0.22708857]
graphs/nodes_8/1143.gml,0.8501826833165292,[-0.29502301  0.26294929  0.75434675 -0.22559834]
graphs/nodes_8/1144.gml,0.7119177250140822,[-1.15844522  0.34962356  2.32289792 -0.25457068]
graphs/nodes_8/1145.gml,0.8629910039312926,[-0.30170877  0.21633704  0.69733973 -0.25246649]
graphs/nodes_8/1146.gml,0.7784692888562729,[-0.26363939 -1.19004269  1.75207103 -1.47875581]
graphs/nodes_8/1147.gml,0.7755737163908784,[-0.26779638  0.20285909  0.60955612 -0.29112909]
graphs/nodes_8/1148.gml,0.8780869717044842,[-0.30907903  0.19370251  0.66421537 -0.28310971]
graphs/nodes_8/1149.gml,0.9004280496775703,[-0.3269086   0.21897407  0.72939345 -0.24613989]
graphs/nodes_8/115.gml,0.8537167991202302,[-0.25232589  0.32890303  1.4945794   0.0504519 ]
graphs/nodes_8/1150.gml,0.8621947063809442,[-0.28566173  0.23319214  0.70315532 -0.20278007]
graphs/nodes_8/1151.gml,0.8727164174499304,[-0.22390689 -1.07871337  2.74198197 -1.26739906]
graphs/nodes_8/1152.gml,0.8833337118395126,[-0.26557281  0.25462775  0.76668778 -0.23283687]
graphs/nodes_8/1153.gml,0.8390395291298098,[-0.26763734  0.20486152  0.61127575 -0.26952313]
graphs/nodes_8/1154.gml,0.9082414540016991,[-0.27881145  0.18725895  0.61816141 -0.27632914]
graphs/nodes_8/1155.gml,0.8101282933669086,[-0.32038323  0.20052842  0.67264594 -0.2933051 ]
graphs/nodes_8/1156.gml,0.8065852650048171,[-0.24447377  0.36448744  1.75366736 -1.50190888]
graphs/nodes_8/1157.gml,0.8426627063514612,[-0.28973559  0.20213774  0.6423249  -0.27886027]
graphs/nodes_8/1158.gml,0.8406359522575713,[ 0.22003068 -0.3755556   1.94756339 -1.7286396 ]
graphs/nodes_8/1159.gml,0.6751313921264573,[ 1.27646095  0.37450393  3.5098241  -0.64207781]
graphs/nodes_8/116.gml,0.8003097734817646,[-0.5146599   1.2257555   0.22011187 -0.83657544]
graphs/nodes_8/1160.gml,0.8382887802630599,[-0.26575259 -1.22829348  1.34140224 -1.5270502 ]
graphs/nodes_8/1161.gml,0.658154817995535,[-0.5078902   1.18488948  1.79969258 -0.78710396]
