path,p_1,p_1_angles,p_1_nfev,p_2,p_2_angles,p_2_nfev
graphs/main/nodes_9/depth_3//37.gml,0.7859015155924708,[ 0.2 -0.2],18,0.8146980776573216,[ 0.2 -0.2  0.2 -0.2],62
graphs/main/nodes_9/depth_3//38.gml,0.8264654527182311,[ 0.17480114 -0.36773626],24,0.8832221603751407,[ 0.23756431 -0.33900803  0.50222314 -0.1874169 ],65
graphs/main/nodes_9/depth_3//39.gml,0.8397481061301141,[ 0.14378067 -0.31190044],18,0.888631954584907,[ 0.12336479 -0.40131963  0.28396058 -0.28310691],64
graphs/main/nodes_9/depth_3//40.gml,0.8004656521900858,[ 0.25881222 -0.28838216],21,0.855574065492992,[ 0.12787886 -0.38873783  0.35805993 -0.30153902],60
graphs/main/nodes_9/depth_3//41.gml,0.850530562782907,[ 0.20709878 -0.29562452],18,0.8878854215673762,[ 0.14622003 -0.30718857  0.27569365 -0.18983755],72
graphs/main/nodes_9/depth_3//42.gml,0.8118723852684113,[0.26413422 1.26399003],21,0.8781739417032066,[ 0.17700566 -0.35488062  0.34050443 -0.27609919],62
graphs/main/nodes_9/depth_3//43.gml,0.7756589883809438,[ 0.31547904 -0.3557328 ],21,0.8438285224724738,[ 0.23820652 -0.40814167  0.42334625 -0.20850742],60
graphs/main/nodes_9/depth_3//44.gml,0.8077729759742132,[ 0.3055624  -0.39371974],24,0.841700990031498,[ 0.2 -0.2  0.2 -0.2],61
graphs/main/nodes_9/depth_3//45.gml,0.812077483150563,[ 0.2115665  -0.29761608],24,0.8634090714417465,[ 0.17826535 -0.33218663  0.32838585 -0.30012626],65
graphs/main/nodes_9/depth_3//46.gml,0.8108341410627562,[ 0.2 -0.2],23,0.8500351259676132,[ 0.17049227 -0.33579413  0.33474955 -0.12377091],61
graphs/main/nodes_9/depth_3//47.gml,0.8014292866665583,[ 0.20252702 -0.33923868],21,0.8557481708800452,[ 0.2225189  -0.42636069  0.33776551 -0.32669106],61
graphs/main/nodes_9/depth_3//48.gml,0.8302405115225198,[0.16625862 1.26196015],21,0.8736980479045163,[ 0.20537129 -0.30455144  0.38038399 -0.16271218],61
graphs/main/nodes_9/depth_3//49.gml,0.806106436962896,[ 0.2 -0.2],27,0.891655229797901,[ 0.19007395 -0.4709244   0.34630752 -0.27661339],70
graphs/main/nodes_9/depth_3//50.gml,0.8810204540705416,[-0.13630168  0.2919415 ],18,0.898746152783737,[ 0.08439474 -0.26970646  0.37367597 -0.1468331 ],62
graphs/main/nodes_9/depth_3//51.gml,0.8952179298341116,[ 0.2 -0.2],23,0.9305286397982186,[ 0.15366439 -0.39011867  0.26897527 -0.19987303],62
graphs/main/nodes_9/depth_3//52.gml,0.7974520746137921,[ 0.2 -0.2],18,0.8540446262014354,[ 0.19586146 -0.43978974  0.39712152 -0.29832879],62
graphs/main/nodes_9/depth_3//53.gml,0.8860061835989068,[ 0.20456531 -0.21257401],23,0.930295177926408,[ 0.12907874 -0.3067261   0.34738789 -0.19833232],61
graphs/main/nodes_9/depth_3//54.gml,0.8524735727191328,[ 0.2 -0.2],18,0.8978788949957754,[ 0.12692567 -0.34837752  0.33819322 -0.25030866],61
graphs/main/nodes_9/depth_3//55.gml,0.802227809156561,[ 0.16950106 -0.35407047],18,0.8357371186795719,[ 0.25299686 -0.35197245  0.40376037 -0.22813257],68
graphs/main/nodes_9/depth_3//56.gml,0.8321415652798165,[ 0.2 -0.2],18,0.8771557595468271,[ 0.14991929 -0.31163943  0.41512169 -0.14463733],69
graphs/main/nodes_9/depth_3//57.gml,0.8310860950637438,[ 0.30491036 -0.30071046],21,0.8666987742142009,[-0.18119697 -1.08671937 -0.40009603 -1.42995857],63
graphs/main/nodes_9/depth_3//58.gml,0.8763085081911485,[ 0.14742508 -0.30825136],18,0.9197457530688007,[ 0.12163975 -0.33250483  0.33549765 -0.15869387],61
