,r_1,r_1_angles,r_1_nfev,r_2,r_2_angles,r_2_nfev,r_3,r_3_angles,r_3_nfev,r_4,r_4_angles,r_4_nfev,r_5,r_5_angles,r_5_nfev,r_6,r_6_angles,r_6_nfev,r_7,r_7_angles,r_7_nfev,r_8,r_8_angles,r_8_nfev,r_9,r_9_angles,r_9_nfev,r_10,r_10_angles,r_10_nfev
graphs/new/nodes_12/depth_3//198.gml,0.8309974127261286,[-0.19832098  0.31389501],36.0,0.8309974284700499,[-0.19824343  3.45552058],39,0.8309974284700499,[-0.19824343  3.45552058],30,0.8309974284700499,[-0.19824343  3.45552058],51,0.8309974284700499,[-0.19824343  3.45552058],27,0.8309974284700499,[-0.19824343  3.45552058],27,0.8309974284700499,[-0.19824343  3.45552058],108,0.8309974284700499,[-0.19824343  3.45552058],45,0.8309974284700499,[-0.19824343  3.45552058],57,0.8309974284700499,[-0.19824343  3.45552058],69
graphs/new/nodes_12/depth_3//199.gml,0.7698964927894403,[1.73112727 2.79285341],39.0,0.8191878623789002,[0.17567575 1.29112219],45,0.8191878623789002,[0.17567575 1.29112219],18,0.8191878623789002,[0.17567575 1.29112219],33,0.8191878623789002,[0.17567575 1.29112219],36,0.8191878623789002,[0.17567575 1.29112219],69,0.8191878623789002,[0.17567575 1.29112219],30,0.8191878623789002,[0.17567575 1.29112219],27,0.8191878623789002,[0.17567575 1.29112219],132,0.8191878623789002,[0.17567575 1.29112219],42
graphs/new/nodes_12/depth_3//200.gml,0.8451911588802679,[-0.19100873  0.30074779],43.0,0.8451911588802679,[-0.19100873  0.30074779],39,0.8451911588802679,[-0.19100873  0.30074779],15,0.8451911588802679,[-0.19100873  0.30074779],87,0.8451911908731282,[0.19101297 1.26990638],63,0.8451911908731282,[0.19101297 1.26990638],33,0.8451911908731282,[0.19101297 1.26990638],99,0.8451911908731282,[0.19101297 1.26990638],24,0.8451911908731282,[0.19101297 1.26990638],36,0.8451911908731282,[0.19101297 1.26990638],75
graphs/new/nodes_12/depth_3//201.gml,0.809478222185671,[2.95331764 1.86691207],36.0,0.8094782304243971,[ 0.18828299 -0.29618733],24,0.8094782304243971,[ 0.18828299 -0.29618733],60,0.8094782304243971,[ 0.18828299 -0.29618733],21,0.8094782304243971,[ 0.18828299 -0.29618733],48,0.8094782304243971,[ 0.18828299 -0.29618733],33,0.8094782304243971,[ 0.18828299 -0.29618733],45,0.8094782304243971,[ 0.18828299 -0.29618733],30,0.8094782304243971,[ 0.18828299 -0.29618733],123,0.8094782304243971,[ 0.18828299 -0.29618733],36
graphs/new/nodes_12/depth_3//202.gml,0.8062070911491974,[-0.18921098 -2.8481685 ],39.0,0.8062070911491974,[-0.18921098 -2.8481685 ],57,0.8062070911491974,[-0.18921098 -2.8481685 ],84,0.8062071066004994,[2.95234889 1.86412046],21,0.8062071066004994,[2.95234889 1.86412046],24,0.8062071066004994,[2.95234889 1.86412046],63,0.8062071066004994,[2.95234889 1.86412046],36,0.8062071066004994,[2.95234889 1.86412046],48,0.8062071066004994,[2.95234889 1.86412046],60,0.8062071066004994,[2.95234889 1.86412046],36
graphs/new/nodes_12/depth_3//203.gml,0.8358187159643558,[-2.96180032 -0.28857251],37.0,0.8358187330769576,[-0.17982157  1.85946109],42,0.8358187330769576,[-0.17982157  1.85946109],236,0.8358187330769576,[-0.17982157  1.85946109],27,0.8358187330769584,[3.32141424 1.28213155],36,0.8358187330769584,[3.32141424 1.28213155],6,0.8358187330769584,[3.32141424 1.28213155],33,0.8358187330769584,[3.32141424 1.28213155],54,0.8358187330769584,[3.32141424 1.28213155],27,0.8358187330769584,[3.32141424 1.28213155],57
graphs/new/nodes_12/depth_3//204.gml,0.74600476643514,[-1.31093168 -0.86061122],38.0,0.7460047690620758,[-1.83057555  0.8605404 ],45,0.7460047690620758,[-1.83057555  0.8605404 ],66,0.7460047690620811,[ 1.31101718 -0.7102562 ],45,0.7460047690620829,[-4.4526099   2.28105254],48,0.7460047690620829,[-4.4526099   2.28105254],33,0.8306064537972879,[ 2.95767965 -2.85900563],33,0.8306064537972939,[-2.95767971 -1.85338338],66,0.8306064537972953,[-0.18391294 -2.85900562],36,0.8306064537972953,[-0.18391294 -2.85900562],51
graphs/new/nodes_12/depth_3//205.gml,0.7933525309119008,[-2.95538508 -1.87091394],42.0,0.7933525663303271,[-2.95548648 -3.44164441],84,0.7933525663303271,[-2.95548648 -3.44164441],39,0.7933525663303271,[-2.95548648 -3.44164441],158,0.7933525663303271,[-2.95548648 -3.44164441],45,0.7933525663303271,[-2.95548648 -3.44164441],27,0.7933525663303271,[-2.95548648 -3.44164441],51,0.7933525663303271,[-2.95548648 -3.44164441],21,0.7933525663303271,[-2.95548648 -3.44164441],81,0.7933525663303271,[-2.95548648 -3.44164441],84
graphs/new/nodes_12/depth_3//206.gml,0.7657222076573628,[ 1.37905238 -2.77769245],34.0,0.765722211116316,[17.08696521 -2.7776933 ],84,0.831287325586821,[0.1871407  2.84476019],54,0.831287325586824,[0.18714072 1.27396386],30,0.831287325586824,[0.18714072 1.27396386],42,0.831287325586824,[0.18714072 1.27396386],30,0.8312873255868289,[-2.95445193  1.27396382],78,0.8312873255868289,[-2.95445193  1.27396382],36,0.8312873255868289,[-2.95445193  1.27396382],45,0.8312873255868289,[-2.95445193  1.27396382],39
graphs/new/nodes_12/depth_3//207.gml,0.8661994435714152,[-2.98984751  1.31666085],39.0,0.8661994435714152,[-2.98984751  1.31666085],96,0.8661994435714152,[-2.98984751  1.31666085],36,0.8661994435714152,[-2.98984751  1.31666085],93,0.8661994435714152,[-2.98984751  1.31666085],27,0.8661994540176191,[-2.98990507 -1.82491536],33,0.8661994540176191,[-2.98990507 -1.82491536],90,0.8661994540176191,[-2.98990507 -1.82491536],36,0.8661994540176191,[-2.98990507 -1.82491536],74,0.8661994540176191,[-2.98990507 -1.82491536],84
graphs/new/nodes_12/depth_3//208.gml,0.8003972618139503,[1.80240981 0.38602219],37.0,0.8563561660939573,[15.5385823  -6.00817454],30,0.8563561660939573,[15.5385823  -6.00817454],96,0.8563561660939573,[15.5385823  -6.00817454],36,0.8563561660939573,[15.5385823  -6.00817454],30,0.8563561660939573,[15.5385823  -6.00817454],45,0.8563561660939573,[15.5385823  -6.00817454],30,0.8563561660939573,[15.5385823  -6.00817454],30,0.8563561660939573,[15.5385823  -6.00817454],42,0.8563561660939573,[15.5385823  -6.00817454],51
graphs/new/nodes_12/depth_3//209.gml,0.7628563020216625,[1.73997273 1.91493565],38.0,0.8110645520922692,[ 3.30081066 -3.40644559],84,0.8110645520922692,[ 3.30081066 -3.40644559],96,0.8110645520922692,[ 3.30081066 -3.40644559],36,0.8110645520922692,[ 3.30081066 -3.40644559],90,0.8110645520922692,[ 3.30081066 -3.40644559],18,0.8110645520922692,[ 3.30081066 -3.40644559],87,0.8110645520922692,[ 3.30081066 -3.40644559],42,0.8110645520922692,[ 3.30081066 -3.40644559],33,0.8110645520922692,[ 3.30081066 -3.40644559],69
graphs/new/nodes_12/depth_3//210.gml,0.7566399782098112,[1.35769534 1.17232692],37.0,0.8197354923418133,[-2.94886528  1.27196403],33,0.8197354923418133,[-2.94886528  1.27196403],36,0.8197354923418133,[-2.94886528  1.27196403],78,0.8197354923418133,[-2.94886528  1.27196403],33,0.8197354923418206,[-0.19272748  0.29883221],69,0.8197354923418206,[-0.19272748  0.29883221],30,0.8197354923418271,[-0.19272747  1.86962859],48,0.8197354923418271,[-0.19272747  1.86962859],78,0.8197354923418271,[-0.19272747  1.86962859],42
graphs/new/nodes_12/depth_3//211.gml,0.8249516761492866,[2.95698174 1.8599739 ],41.0,0.8249516761492866,[2.95698174 1.8599739 ],30,0.8249516761492866,[2.95698174 1.8599739 ],18,0.824951699885151,[0.18466294 2.85253417],39,0.8249516998851618,[-0.18466291  1.85985483],81,0.8249516998851618,[-0.18466291  1.85985483],21,0.8249516998851618,[-0.18466291  1.85985483],33,0.8249516998851618,[-0.18466291  1.85985483],30,0.8249516998851618,[-0.18466291  1.85985483],45,0.8249516998851618,[-0.18466291  1.85985483],33
graphs/new/nodes_12/depth_3//212.gml,0.8648267642618599,[ 2.98333007 -1.30701284],48.0,0.8648267642618599,[ 2.98333007 -1.30701284],81,0.8648267642618599,[ 2.98333007 -1.30701284],27,0.8648267642618599,[ 2.98333007 -1.30701284],111,0.8648267642618599,[ 2.98333007 -1.30701284],30,0.8648267642618599,[ 2.98333007 -1.30701284],87,0.8648267642618599,[ 2.98333007 -1.30701284],36,0.8648267642618599,[ 2.98333007 -1.30701284],36,0.8648267642618599,[ 2.98333007 -1.30701284],27,0.8648267642618599,[ 2.98333007 -1.30701284],36
graphs/new/nodes_12/depth_3//213.gml,0.773759516902699,[ 1.362945   -0.68480873],62.0,0.7737595391989504,[1.36294643 2.45726028],39,0.8432177486074849,[ 6.12609826 -1.31265848],57,0.8432177486074849,[ 6.12609826 -1.31265848],27,0.8432177486074849,[ 6.12609826 -1.31265848],57,0.8432177486074849,[ 6.12609826 -1.31265848],69,0.8432177486074849,[ 6.12609826 -1.31265848],84,0.8432177486074849,[ 6.12609826 -1.31265848],39,0.8432177486074849,[ 6.12609826 -1.31265848],42,0.8432177486074849,[ 6.12609826 -1.31265848],36
graphs/new/nodes_12/depth_3//214.gml,0.7306101634625308,[ 1.40042943 -2.60195198],161.0,0.7306101811801197,[ 1.40039831 -2.60224851],24,0.7306101811801197,[ 1.40039831 -2.60224851],63,0.8110387856243902,[ 3.32272918 -3.42417592],33,0.8110387856243902,[ 3.32272918 -3.42417592],93,0.8110387856243902,[ 3.32272918 -3.42417592],30,0.8110387856243959,[ 0.1811365  -0.28258321],54,0.8110387856243959,[ 0.1811365  -0.28258321],90,0.8110387856243959,[ 0.1811365  -0.28258321],78,0.8110387856243959,[ 0.1811365  -0.28258321],39
graphs/new/nodes_12/depth_3//215.gml,0.7540139196322518,[-1.33076198 -2.3769504 ],57.0,0.7540139269522825,[-1.33071803 -0.80628303],48,0.7540139269522825,[-1.33071803 -0.80628303],81,0.7540139269522825,[-1.33071803 -0.80628303],27,0.8319564160330454,[ 2.94587856 -2.84217874],42,0.831956416033048,[2.94587851 0.29941381],33,0.831956416033048,[2.94587851 0.29941381],54,0.831956416033048,[2.94587851 0.29941381],60,0.831956416033048,[2.94587851 0.29941381],36,0.831956416033048,[2.94587851 0.29941381],51
